product_title,product_url,product_id,product_rating,product_reviews,current_price,reduction_percentage,old_price,store_rating,store_reviews
Autocollants de tarot | Ensemble d'autocollants Rider Waite Arcanes Majeurs | Fournitures de scrapbooking et de journal,https://www.etsy.com/fr/listing/4361484374/autocollants-de-tarot-ensemble,4361484374,5,1,2.99,0,0,4.8794,828
"Lot de 5 Stickers Holographiques au choix, Déco pour Ordinateur, Autocollant pour téléphone, Vinyle pailleté, Stickers étanches",https://www.etsy.com/fr/listing/1819480009/lot-de-5-stickers-holographiques-au,1819480009,5,12,5,0,0,5,42
"35 stickers japonais, culturels et excentriques pour le scrapbooking et le bricolage",https://www.etsy.com/fr/listing/4353630267/35-stickers-japonais-culturels-et,4353630267,5,6,10.52,0,0,4.9224,713
Étiquettes rondes autocollantes personnalisées – Mariage – Stickers 35 40 60 mm,https://www.etsy.com/fr/listing/4359113336/etiquettes-rondes-autocollantes,4359113336,5,11,0.17,6,0.18,4.8816,6400
Stickers prénoms - Autocollant prénoms,https://www.etsy.com/fr/listing/1816352235/stickers-prenoms-autocollant-prenoms,1816352235,5,29,0.5,0,0,4.9474,510
"Autocollant Boîte de Sardines – Sticker Fait Main en Mat, Brillant ou Holographique",https://www.etsy.com/fr/listing/1889004571/autocollant-boite-de-sardines-sticker,1889004571,5,25,2,0,0,4.9917,311
"50 autocollants d'art abstrait, autocollants colorés de style Matisse, autocollants esthétiques imperméables pour téléphone, journal, scrapbooking, travaux manuels",https://www.etsy.com/fr/listing/4344389639/50-autocollants-dart-abstrait,4344389639,5,3,4.6,55,10.22,4.9434,106
Stickers Dans les étoiles et le temps,https://www.etsy.com/fr/listing/1728663012/stickers-dans-les-etoiles-et-le-temps,1728663012,5,75,2.87,0,0,4.9667,1700
"Autocollants féministes, du Mois des fiertés, queer et pour la santé mentale | Ensemble personnalisé pour créations individuelles | Idée cadeau amusante et stimulante",https://www.etsy.com/fr/listing/1408182058/autocollants-feministes-du-mois-des,1408182058,4.9,167,6.5,0,0,4.9297,478
"Bordel, c'est fini. Sticker vinyle grenouille cow-girl :",https://www.etsy.com/fr/listing/4349810103/bordel-cest-fini-sticker-vinyle,4349810103,5,28,3.65,15,4.29,4.9922,1200
"46 pcs, autocollants floraux, flocons d'autocollants, autocollants floraux, fleurs épanouies, autocollant pour agenda, autocollant de scrapbooking, journal intime, lot d'autocollants",https://www.etsy.com/fr/listing/1683139346/46-pcs-autocollants-floraux-flocons,1683139346,4.8,15,2.42,10,2.69,4.7454,18900
"Autocollants transparents, Plantes et Fleurs – Autocollants, Papeterie, Journal, Agenda, Album photo, Plante, Fleur",https://www.etsy.com/fr/listing/956017492/autocollants-transparents-plantes-et,956017492,4.8,128,2.96,10,3.29,4.8845,6200
"QUESTIONS DE SANTÉ MENTALE, mélange d'autocollants, autocollants Aufkleber, autocollants pour ordinateur portable, autocollant de guérison, vous êtes important, la thérapie est cool, vous êtes fort, anxiété",https://www.etsy.com/fr/listing/4306336605/questions-de-sante-mentale-melange,4306336605,5,5,2.92,25,3.9,4.7836,134
"50 autocollants aléatoires pour plantes et chats, autocollants mignons pour les amoureux des chats, autocollants pour plantes, autocollants imperméables chatons pour journal, scrapbooking, travaux manuels",https://www.etsy.com/fr/listing/1879145947/50-autocollants-aleatoires-pour-plantes,1879145947,4.7,12,3.1,62,8.17,4.8662,432
"Lot de 100 autocollants mèmes drôles aléatoires, autocollants mèmes imperméables imperméables pour ordinateur portable, journal et bouteille d'eau, lot d'autocollants humoristiques, autocollants viraux",https://www.etsy.com/fr/listing/1853332995/lot-de-100-autocollants-memes-droles,1853332995,4.6,43,7.38,65,21.09,4.8386,923
"Livre d'autocollants esthétiques vintage, 50 pièces, journal indésirable, fournitures de scrapbooking éphémères Washi, autocollants déco forêt, animaux, fleurs océaniques",https://www.etsy.com/fr/listing/1183568292/livre-dautocollants-esthetiques-vintage,1183568292,4.9,70,4.03,25,5.37,4.8813,7100
"50 autocollants vintage de Tokyo, autocollants de billets de voyage au Japon, autocollants esthétiques japonais rétro, autocollants de collage pour cahiers, albums de coupures",https://www.etsy.com/fr/listing/4390842039/50-autocollants-vintage-de-tokyo,4390842039,5,1,3.89,50,7.79,4.8037,163
Jolie feuille d'autocollants de Noël | Stickers des fêtes et stickers festifs,https://www.etsy.com/fr/listing/4307453535/jolie-feuille-dautocollants-de-noel-o,4307453535,5,4,2.5,0,0,4.9348,95
"50 autocollants de Noël, autocollants esthétiques mignons, autocollants de Noël en pain d'épice, autocollants festifs de flocon de neige pour ordinateur portable, travaux manuels, album de scrapbooking",https://www.etsy.com/fr/listing/4384617395/50-autocollants-de-noel-autocollants,4384617395,0,0,7.38,65,21.09,4.8386,923
Tarot Card Stickers | 78 Rider Waite Cards for Beginner and Advanced Witch | Digital Witchy Printable Stickers,https://www.etsy.com/fr/listing/1669256348/tarot-card-stickers-78-rider-waite-cards,1669256348,4.9,123,3.24,70,10.8,4.8965,2100
"Pack d'autocollants livresques mystérieux : thèmes Quatrième aile, Sorcière, Romance noire",https://www.etsy.com/fr/listing/4368950206/pack-dautocollants-livresques-mysterieux,4368950206,4,1,6.02,30,8.6,4.8333,6
"Autocollants personnalisés en vrac, pack d'autocollants personnalisés holographiques pour un usage personnel ou professionnel",https://www.etsy.com/fr/listing/1714634377/autocollants-personnalises-en-vrac-pack,1714634377,4.8,24,19.99,0,0,4.9454,1000
Autocollants de fleurs transparents - mélange coloré - 40 pièces dans un ensemble,https://www.etsy.com/fr/listing/1536179637/autocollants-de-fleurs-transparents,1536179637,4.9,65,3.99,0,0,4.8824,1700
"Livre d'autocollants rétro japonais de 900 stickers |  Autocollants esthétiques pour scrapbooking | Lot d'autocollants holographiques, brillants et mats de 30 pages",https://www.etsy.com/fr/listing/4390837076/livre-dautocollants-retro-japonais-de,4390837076,5,3,15.32,25,20.43,5,26
Autocollants japonais Ukiyo-e | Autocollants style tampon vintage | Fournitures de scrapbooking et de journal,https://www.etsy.com/fr/listing/1761441962/autocollants-japonais-ukiyo-e,1761441962,5,8,2.99,0,0,4.8794,828
CUTE SHINY STICKERS,https://www.etsy.com/fr/listing/1592276296/cute-shiny-stickers,1592276296,5,46,2.75,0,0,5,181
"Stickers japonais en papiers, 50 pièces, style kawaii nippon pour le scrapbooking, journal et carnet. Stickers à 30 pièces japonais",https://www.etsy.com/fr/listing/4362651458/stickers-japonais-en-papiers-50-pieces,4362651458,5,1,4.85,0,0,4.9884,231
"50 stickers japonais, kawaii et esthétiques pour le scrapbooking et le bricolage",https://www.etsy.com/fr/listing/1708396932/50-stickers-japonais-kawaii-et,1708396932,4.9,245,10.52,0,0,4.9224,713
Étiquettes rondes autocollantes personnalisées – Noël – Stickers cadeaux 35 40 60 mm,https://www.etsy.com/fr/listing/4359125095/etiquettes-rondes-autocollantes,4359125095,5,3,0.17,6,0.18,4.8816,6400
"Lot de 50 autocollants bohèmes, lot d'autocollants floraux pour ordinateur portable Kindle Books Hydroflask, lot d'autocollants esthétiques, lot d'autocollants imperméables",https://www.etsy.com/fr/listing/1767112920/lot-de-50-autocollants-bohemes-lot,1767112920,5,10,3.27,60,8.17,4.8758,751
"Autocollants nominatifs pour vêtements et objets, autocollants personnalisés et imperméables avec noms pour enfants, école, etc.",https://www.etsy.com/fr/listing/1857273244/autocollants-nominatifs-pour-vetements,1857273244,5,15,5.7,40,9.5,4.7302,368
"50 stickers emoji dessins animés, grimaces drôles, stickers humeur, stickers jaunes imperméables, stickers pour journal créatif et scrapbooking",https://www.etsy.com/fr/listing/1839138416/50-stickers-emoji-dessins-animes,1839138416,5,1,3.1,62,8.17,4.8662,432
Sticker holographique fleurs sauvages : sticker transparent résistant à l'eau (3 x 3 pouces),https://www.etsy.com/fr/listing/1524029017/sticker-holographique-fleurs-sauvages,1524029017,4.9,138,4.44,25,5.92,4.9717,4600
Pack d'autocollants oiseaux de Nouvelle-Zélande : autocollants en vinyle imperméables,https://www.etsy.com/fr/listing/1086210471/pack-dautocollants-oiseaux-de-nouvelle,1086210471,0,18,13.68,0,0,4.95,293
"Super abordable, 30/50/80/100 feuilles, autocollants scintillants, décoration d'album photo, lot d'autocollants pour fille, feuille d'autocollants, cadeau pour, agenda",https://www.etsy.com/fr/listing/1705999343/super-abordable-305080100-feuilles,1705999343,4.7,18,3,10,3.34,4.7454,18900
"Autocollants rétro avec 45 mini-autocollants — Autocollants, décalcomanies, scrapbooking, papeterie, agenda",https://www.etsy.com/fr/listing/1076928928/autocollants-retro-avec-45-mini,1076928928,4.8,30,3.59,10,3.99,4.8845,6200
"Lot de 50 autocollants inspirés de Keith Haring, autocollants Pop Little People pour livre d'ordinateur portable Kindle, lot d'autocollants esthétiques en vinyle",https://www.etsy.com/fr/listing/1782516388/lot-de-50-autocollants-inspires-de-keith,1782516388,4.9,17,3.27,60,8.17,4.8758,751
"Lot de 50 autocollants en vinyle animaux mignons aléatoires, autocollants animaux imperméables pour ordinateur portable, bouteille d'eau, paquet d'autocollants animaux kawaii pour livres Kindle",https://www.etsy.com/fr/listing/1809812961/lot-de-50-autocollants-en-vinyle-animaux,1809812961,5,21,3.27,60,8.17,4.8758,751
Stickers Maisons - Ensemble d'autocollants mignons et colorés sur le thème de la maison pour journaliser et bricoler,https://www.etsy.com/fr/listing/4306250198/stickers-maisons-ensemble-dautocollants,4306250198,5,1,2.5,0,0,4.9348,95
Set d'autocollants « Timbres-poste Nostalgie de Noël » - 46 autocollants d'hiver et de Noël dans un ensemble,https://www.etsy.com/fr/listing/4393203605/set-dautocollants-timbres-poste,4393203605,5,1,3.99,0,0,4.8824,1700
"Autocollant holographique chat spirale dessin d'un livre de la Renaissance, medieval spiral cat holographic sticker",https://www.etsy.com/fr/listing/1841790575/autocollant-holographique-chat-spirale,1841790575,4.9,13,2.99,0,0,4.9073,154
"50 stickers citations de lecture aléatoire, stickers livres esthétiques pour bibliophiles, stickers amateurs de livres, stickers imperméables pour Kindle et ordinateurs portables",https://www.etsy.com/fr/listing/1884005039/50-stickers-citations-de-lecture,1884005039,5,27,3.1,62,8.17,4.8662,432
"50 stickers littéraires Jane Austen, stickers livres vintage, citations sens et sensibilité, stickers pour amateurs de livres et fans d'Austen",https://www.etsy.com/fr/listing/1807272394/50-stickers-litteraires-jane-austen,1807272394,4.9,42,3.27,60,8.17,4.8758,751
"50 stickers emoji rigolos, lot d'expressions de dessin animé, stickers visage jaunes, stickers humeur pour journal, stickers en vinyle mignons et humoristiques",https://www.etsy.com/fr/listing/1853332041/50-stickers-emoji-rigolos-lot,1853332041,5,1,7.38,65,21.09,4.8386,923
"50 autocollants koala mignons, autocollants animaux adorables, autocollants imperméables, autocollants kawaii pour enfants, autocollants koala pour scrapbooking",https://www.etsy.com/fr/listing/1856130721/50-autocollants-koala-mignons,1856130721,0,0,3.1,62,8.17,4.8662,432
"Stickers animaux aquarelle – 50 motifs | Animaux mignons de style dessin animé, vinyle, env. 3-6 cm, mat, autocollant, cadeau pour enfants, scrapbooking",https://www.etsy.com/fr/listing/4308746382/stickers-animaux-aquarelle-50-motifs-o,4308746382,5,1,3.95,10,4.39,4.8845,6200
Dark Academia - Feuille d'autocollants Washi | Autocollant vintage | Autocollants transparents super fins pour Bullet Journal | Autocollant Academia sur papier Washi,https://www.etsy.com/fr/listing/1844936226/dark-academia-feuille-dautocollants,1844936226,5,11,3.3,0,0,4.9876,439
"Lot de 50 autocollants esthétiques nature, autocollants animaux mignons, autocollants forêt, autocollants floraux, autocollants botaniques pour bagages, travaux manuels",https://www.etsy.com/fr/listing/4383978053/lot-de-50-autocollants-esthetiques,4383978053,5,1,7.38,65,21.09,4.8386,923
Autocollant vintage Art Nouveau « Femme embrassant la lune » (1920) | Décalcomanie Céleste Whimsigoth | Autocollant « Chère vieille lune de Dixie »,https://www.etsy.com/fr/listing/4400090154/autocollant-vintage-art-nouveau-femme,4400090154,0,0,2.71,15,3.19,4.898,196
"Stickers fleurs « Poésie florale » avec 45 mini stickers — stickers, stickers, scrapbooking, papeterie, agenda",https://www.etsy.com/fr/listing/1178112653/stickers-fleurs-poesie-florale-avec-45,1178112653,4.5,14,3.59,10,3.99,4.8845,6200
"MÉGA BUNDLE Ensemble d'autocollants Mystery Surprise pour toute la boutique Best-seller Drôle, motivant, sarcastique, parfait pour ordinateur portable, agenda, tenue de journal, cadeaux",https://www.etsy.com/fr/listing/4368898079/mega-bundle-ensemble-dautocollants,4368898079,5,1,2.92,25,3.9,4.7836,134
Pack d'autocollants mèmes populaires Stickers mèmes Internet drôles Sticker bouteille d'eau Stickers ordinateur portable Idée cadeau drôle Mème Sticker mème Internet viral,https://www.etsy.com/fr/listing/4390225686/pack-dautocollants-memes-populaires,4390225686,5,1,2.92,25,3.9,4.7836,134
"100 autocollants mignons de timbres du monde entier | Tampon autocollant de voyage pour ordinateur portable, scrapbooking, journal, carnet de notes, décoration et agenda",https://www.etsy.com/fr/listing/1741652312/100-autocollants-mignons-de-timbres-du,1741652312,4.2,22,13.99,0,0,4.7766,930
Lot de 50 stickers Twilight / Imperméables / Vampires,https://www.etsy.com/fr/listing/1746543224/lot-de-50-stickers-twilight-impermeables,1746543224,4.9,123,7.52,25,10.02,4.9217,346
Petits stickers de mariage rectangulaires personnalisés pour cadeaux : étiquettes de cadeau transparentes ou en feuille d'or blanc,https://www.etsy.com/fr/listing/726575701/petits-stickers-de-mariage,726575701,5,150,0.34,40,0.57,4.8737,38900
"Ensemble d'autocollants DIY 4 thèmes, cabane dans les arbres/salle de bonbons/table de tarot/salle de sorcière, scène d'autocollants 3D, autocollant miniature, autocollants déco, cadeau pour fille",https://www.etsy.com/fr/listing/4307888987/ensemble-dautocollants-diy-4-themes,4307888987,5,7,19.41,10,21.56,4.7647,17
"Stickers muraux fleurs marguerites 50 pcs, décoration de chambre d'enfant, stickers muraux fleurs / Marguerite blanche / Stickers fleurs",https://www.etsy.com/fr/listing/1412690212/stickers-muraux-fleurs-marguerites-50,1412690212,4.9,118,26.28,35,40.43,4.8797,554
"La vie, c'est la douleur, autocollant vinyle imperméable baguette parisienne | Jeu de mots amusant autocollant mignon, ordinateur portable, journal intime, agendas, bujo, étui pour téléphone, bouteille d'eau",https://www.etsy.com/fr/listing/1785608312/la-vie-cest-la-douleur-autocollant,1785608312,5,7,4.5,0,0,4.9783,2500
"50 autocollants rétro - Scrapbooking, Papeterie, Journal, Agenda, Papeterie",https://www.etsy.com/fr/listing/1520681537/50-autocollants-retro-scrapbooking,1520681537,4.7,22,4.94,10,5.49,4.8845,6200
Pack 7 Autocollants Poissons & Citron – Stickers originaux avec packaging boîte de conserve,https://www.etsy.com/fr/listing/1889003647/pack-7-autocollants-poissons-citron,1889003647,5,4,10,0,0,4.9917,311
"Stickers logo personnalisés, finition mate, stickers ronds 37 mm",https://www.etsy.com/fr/listing/1410504124/stickers-logo-personnalises-finition,1410504124,4.9,0,2.13,0,0,4.9617,6100
"Autocollant inspiré de la foi, verset de la Bible bohème, carnets de notes, planches de prière, autocollant religieux JÉSUS religion cadeau amoureux de Jésus, autocollants chrétiens",https://www.etsy.com/fr/listing/4361622482/autocollant-inspire-de-la-foi-verset-de,4361622482,4.6,9,2.92,25,3.9,4.7836,134
"50 autocollants de scrapbooking vintage, autocollants esthétiques rétro, autocollants de journalisme, autocollants bohèmes, autocollants pour le bricolage, cadeaux et cahiers",https://www.etsy.com/fr/listing/1841913036/50-autocollants-de-scrapbooking-vintage,1841913036,4.6,32,7.38,65,21.09,4.8386,923
"Stickers personnalisés, Autocollants personnalisés, Vos photos sous forme d'autocollants, Imperméables, Stickers individuels, Stickers en vinyle personnalisés, Stickers ordinateur portable",https://www.etsy.com/fr/listing/1793759481/stickers-personnalises-autocollants,1793759481,5,42,1.2,0,0,5,96
30 stickers chats kawaii,https://www.etsy.com/fr/listing/1766000542/30-stickers-chats-kawaii,1766000542,3,2,3.4,0,0,4.918,424
Autocollant pour carton de lait Nessie,https://www.etsy.com/fr/listing/1774929831/autocollant-pour-carton-de-lait-nessie,1774929831,5,66,2.82,30,4.03,4.9894,31800
Pochette mystère de 25 petits autocollants découpés | Sticker pour ordinateur portable bouteille d'eau | Sticker carnet de notes,https://www.etsy.com/fr/listing/1315141582/pochette-mystere-de-25-petits,1315141582,5,800,4.79,0,0,4.9924,2900
"Sticker QR code pointant vers un site web pour commerce, vitrophanie boutique, vitrine, magasin, vinyle adhésif personnalisable",https://www.etsy.com/fr/listing/1382299575/sticker-qr-code-pointant-vers-un-site,1382299575,5,10,19.9,0,0,4.901,278
"Je suis venu, j'ai vu que j'avais de l'anxiété, j'ai laissé un autocollant, autocollant introverti drôle, autocollant drôle, autocollant pour ordinateur portable, autocollant pour gobelet anxiété, autocollant anxiété",https://www.etsy.com/fr/listing/858479485/je-suis-venu-jai-vu-que-javais-de,858479485,4.9,0,3.21,10,3.57,4.9435,84300
CUTE Moon & Star Stickers,https://www.etsy.com/fr/listing/4328116847/cute-moon-star-stickers,4328116847,5,13,1.3,0,0,5,181
"60 stickers japonais, de voyage et de culture pour le scrapbooking et le bricolage",https://www.etsy.com/fr/listing/1806926048/60-stickers-japonais-de-voyage-et-de,1806926048,5,48,10.52,0,0,4.9224,713
Lot de 12 attrape-soleil hexagones électrostatiques – Stickers lumineux pour fenêtre – Reflets arc-en-ciel & anti-collision oiseaux,https://www.etsy.com/fr/listing/1395794720/lot-de-12-attrape-soleil-hexagones,1395794720,4.9,150,7.5,0,0,4.9176,231
"AUTOCOLLANT : mangez les riches (10x/30x/60x) | politique, de gauche, alternatif, anticapitaliste, autocollants | Activisme, Punk, Merch, Cadeaux",https://www.etsy.com/fr/listing/1382979777/autocollant-mangez-les-riches-10x30x60x,1382979777,5,205,1.69,25,2.25,4.9437,754
Feuille d'autocollants - Tea Party - Journal Sticker - Planner Sticker - Scrapbook Sticker - Breakfast Sticker - Flower Sticker - Cosy Sticker Sheet,https://www.etsy.com/fr/listing/1067539120/feuille-dautocollants-tea-party-journal,1067539120,5,112,2.75,0,0,4.9793,13000
"Lot de 50 autocollants de voyage urbain – Autocollants de monuments et de destinations pittoresques pour ordinateur portable, guitare, bagages et scrapbooking | Esthétique de voyage vintage",https://www.etsy.com/fr/listing/4350423245/lot-de-50-autocollants-de-voyage-urbain,4350423245,5,2,9,25,12,4.9375,16
"Autocollants d'entretien personnel goutte rose | Stickers imperméables en vinyle pour Bullet Journal, agenda, ordinateur portable, bouteille d'eau, coque de téléphone, déco",https://www.etsy.com/fr/listing/1603479645/autocollants-dentretien-personnel-goutte,1603479645,5,284,3.76,0,0,4.9812,2900
Ensemble d'autocollants Esprit ukrainien. Fabriqué en Ukraine. L'art de la liberté et de l'indépendance.,https://www.etsy.com/fr/listing/4404351765/ensemble-dautocollants-esprit-ukrainien,4404351765,5,1,28.23,25,37.65,4.9431,735
Lammergeier ou Gypaète barbu ensemble de 3 autocollants brillants imperméables en vinyle,https://www.etsy.com/fr/listing/1401794098/lammergeier-ou-gypaete-barbu-ensemble-de,1401794098,5,24,4.3,0,0,4.9859,3500
"Feuille d'autocollants pigeon - lot de 12 autocollants pour journal, agenda, scrapbooking et plus",https://www.etsy.com/fr/listing/1747342425/feuille-dautocollants-pigeon-lot-de-12,1747342425,5,9,5,0,0,4.9381,416
"Stickers muraux floraux : stickers botaniques bohèmes, décoration florale pastel",https://www.etsy.com/fr/listing/1327751071/stickers-muraux-floraux-stickers,1327751071,4.9,211,11.4,40,19,4.8099,1900
Lot d'autocollants Internet Meme : Stickers sarcastiques pour ordinateur portable - Pack mystère,https://www.etsy.com/fr/listing/4362096068/lot-dautocollants-internet-meme-stickers,4362096068,4.3,4,2.92,25,3.9,4.7836,134
"Lot de 50 autocollants en vinyle dessinés à la main au hasard pour bouteille, autocollants esthétiques imperméables pour bouteille d'eau, ordinateur portable, lot d'autocollants fantaisie et nature",https://www.etsy.com/fr/listing/1801851765/lot-de-50-autocollants-en-vinyle,1801851765,4.8,36,3.27,60,8.17,4.8758,751
"Autocollant, Mot de passe de la forêt, 45 mini autocollants – autocollants, papeterie, journal, agenda, album photo, plante, fleur, tampon",https://www.etsy.com/fr/listing/1161097495/autocollant-mot-de-passe-de-la-foret-45,1161097495,5,24,3.59,10,3.99,4.8845,6200
Ensemble de feuilles d'autocollants Academy | Feuille de 5 autocollants pour Bullet Journal | Autocollants pour journal | Académie des ténèbres | Livres et sculptures | Bujo esthétique,https://www.etsy.com/fr/listing/1768713230/ensemble-de-feuilles-dautocollants,1768713230,5,14,12,0,0,4.9876,439
Sticker YETTA FOREVER,https://www.etsy.com/fr/listing/4348442277/sticker-yetta-forever,4348442277,5,2,3.5,0,0,5,71
"Feuille de 61 autocollants - marqueurs de jardin - pour organiser l'agenda, le calendrier, le journal, l'agenda, le scrapbooking",https://www.etsy.com/fr/listing/1552178811/feuille-de-61-autocollants-marqueurs-de,1552178811,4.9,31,1.5,0,0,4.9134,2100
"Stickers célestes : lune, soleil, étoile dorés et argentés - 6 feuilles",https://www.etsy.com/fr/listing/1890788456/stickers-celestes-lune-soleil-etoile,1890788456,5,1,7.53,0,0,5,5
"Autocollants mensuels et impression artistique Snail Mail Club, ensemble d'autocollants de journalisation pour agenda 2025, lot d'autocollants aquarelle pour carnet de voyage",https://www.etsy.com/fr/listing/4382265787/autocollants-mensuels-et-impression,4382265787,5,15,11.85,25,15.81,4.9754,6600
"Autocollants automne, autocollants de septembre, autocollants d'agenda d'automne, autocollants numériques, autocollants numériques automne, autocollants Goodnotes, autocollants PNG",https://www.etsy.com/fr/listing/4351448847/autocollants-automne-autocollants-de,4351448847,5,10,6.29,25,8.39,4.9128,3300
Stickers Retro en papier,https://www.etsy.com/fr/listing/4373143190/stickers-retro-en-papier,4373143190,0,0,5,0,0,4.9884,231
Autocollant vinyle Colombe,https://www.etsy.com/fr/listing/1604536826/autocollant-vinyle-colombe,1604536826,5,20,3,0,0,4.9859,111
Lot de 12 attrape-soleil cœur électrostatiques – Stickers lumineux pour fenêtre – Reflets arc-en-ciel sans colle,https://www.etsy.com/fr/listing/1855127235/lot-de-12-attrape-soleil-cour,1855127235,0,0,7.5,0,0,4.9176,231
"Stickers personnalisé sur mesure - autocollant - stickers pour mariage, baptême, anniversaire, déco",https://www.etsy.com/fr/listing/1149906500/stickers-personnalise-sur-mesure,1149906500,4.9,482,1,0,0,4.9808,2400
Étiquettes rondes autocollantes personnalisées avec logo – Stickers logo entreprise 35 40 60 mm,https://www.etsy.com/fr/listing/4358684344/etiquettes-rondes-autocollantes,4358684344,5,4,0.17,6,0.18,4.8816,6400
"50 autocollants japonais, girly, kawaii pour le scrapbooking et le bricolage",https://www.etsy.com/fr/listing/4353625453/50-autocollants-japonais-girly-kawaii,4353625453,5,1,10.52,0,0,4.9224,713
Autocollant - Vinyle - Les filles seront des filles,https://www.etsy.com/fr/listing/1858185811/autocollant-vinyle-les-filles-seront-des,1858185811,5,21,4,0,0,4.9615,875
"50 autocollants Palestine, autocollants Palestine gratuits, lot d'autocollants Palestine, lot d'autocollants Palestine pour bouteille d'ordinateur portable, autocollants Palestine",https://www.etsy.com/fr/listing/1834603884/50-autocollants-palestine-autocollants,1834603884,5,27,6.89,30,9.84,4.8663,423
