product_title,product_url,product_id,product_rating,product_reviews,current_price,reduction_percentage,old_price,store_rating,store_reviews,scraped_rating,scraped_reviews
"Pack d'autocollants livresques mystérieux : thèmes Quatrième aile, Sorcière, Romance noire",https://www.etsy.com/fr/listing/4368950206/pack-dautocollants-livresques-mysterieux,4368950206,,,6.02,30,8.6,4.8333,6,4.0,1.0
"Autocollants personnalisés en vrac, pack d'autocollants personnalisés holographiques pour un usage personnel ou professionnel",https://www.etsy.com/fr/listing/1714634377/autocollants-personnalises-en-vrac-pack,1714634377,,,19.99,0,0.0,4.9454,1000,4.8,24.0
Autocollants de fleurs transparents - mélange coloré - 40 pièces dans un ensemble,https://www.etsy.com/fr/listing/1536179637/autocollants-de-fleurs-transparents,1536179637,,,3.99,0,0.0,4.8824,1700,4.9,65.0
"Livre d'autocollants rétro japonais de 900 stickers |  Autocollants esthétiques pour scrapbooking | Lot d'autocollants holographiques, brillants et mats de 30 pages",https://www.etsy.com/fr/listing/4390837076/livre-dautocollants-retro-japonais-de,4390837076,,,15.32,25,20.43,5.0,26,5.0,3.0
Autocollants japonais Ukiyo-e | Autocollants style tampon vintage | Fournitures de scrapbooking et de journal,https://www.etsy.com/fr/listing/1761441962/autocollants-japonais-ukiyo-e,1761441962,,,2.99,0,0.0,4.8794,828,5.0,8.0
CUTE SHINY STICKERS,https://www.etsy.com/fr/listing/1592276296/cute-shiny-stickers,1592276296,,,2.75,0,0.0,5.0,181,5.0,46.0
"Stickers japonais en papiers, 50 pièces, style kawaii nippon pour le scrapbooking, journal et carnet. Stickers à 30 pièces japonais",https://www.etsy.com/fr/listing/4362651458/stickers-japonais-en-papiers-50-pieces,4362651458,,,4.85,0,0.0,4.9884,231,5.0,1.0
"50 stickers japonais, kawaii et esthétiques pour le scrapbooking et le bricolage",https://www.etsy.com/fr/listing/1708396932/50-stickers-japonais-kawaii-et,1708396932,,,10.52,0,0.0,4.9224,713,4.9,245.0
Étiquettes rondes autocollantes personnalisées – Noël – Stickers cadeaux 35 40 60 mm,https://www.etsy.com/fr/listing/4359125095/etiquettes-rondes-autocollantes,4359125095,,,0.17,6,0.18,4.8816,6400,5.0,3.0
"Lot de 50 autocollants bohèmes, lot d'autocollants floraux pour ordinateur portable Kindle Books Hydroflask, lot d'autocollants esthétiques, lot d'autocollants imperméables",https://www.etsy.com/fr/listing/1767112920/lot-de-50-autocollants-bohemes-lot,1767112920,,,3.27,60,8.17,4.8758,751,5.0,10.0
"Autocollants nominatifs pour vêtements et objets, autocollants personnalisés et imperméables avec noms pour enfants, école, etc.",https://www.etsy.com/fr/listing/1857273244/autocollants-nominatifs-pour-vetements,1857273244,,,5.7,40,9.5,4.7302,368,5.0,15.0
"50 stickers emoji dessins animés, grimaces drôles, stickers humeur, stickers jaunes imperméables, stickers pour journal créatif et scrapbooking",https://www.etsy.com/fr/listing/1839138416/50-stickers-emoji-dessins-animes,1839138416,,,3.1,62,8.17,4.8662,432,5.0,1.0
Sticker holographique fleurs sauvages : sticker transparent résistant à l'eau (3 x 3 pouces),https://www.etsy.com/fr/listing/1524029017/sticker-holographique-fleurs-sauvages,1524029017,,,4.44,25,5.92,4.9717,4600,4.9,138.0
Pack d'autocollants oiseaux de Nouvelle-Zélande : autocollants en vinyle imperméables,https://www.etsy.com/fr/listing/1086210471/pack-dautocollants-oiseaux-de-nouvelle,1086210471,,,13.68,0,0.0,4.95,293,0.0,18.0
"Super abordable, 30/50/80/100 feuilles, autocollants scintillants, décoration d'album photo, lot d'autocollants pour fille, feuille d'autocollants, cadeau pour, agenda",https://www.etsy.com/fr/listing/1705999343/super-abordable-305080100-feuilles,1705999343,,,3.0,10,3.34,4.7454,18900,4.7,18.0
"Autocollants rétro avec 45 mini-autocollants — Autocollants, décalcomanies, scrapbooking, papeterie, agenda",https://www.etsy.com/fr/listing/1076928928/autocollants-retro-avec-45-mini,1076928928,,,3.59,10,3.99,4.8845,6200,4.8,30.0
"Lot de 50 autocollants inspirés de Keith Haring, autocollants Pop Little People pour livre d'ordinateur portable Kindle, lot d'autocollants esthétiques en vinyle",https://www.etsy.com/fr/listing/1782516388/lot-de-50-autocollants-inspires-de-keith,1782516388,,,3.27,60,8.17,4.8758,751,4.9,17.0
"Lot de 50 autocollants en vinyle animaux mignons aléatoires, autocollants animaux imperméables pour ordinateur portable, bouteille d'eau, paquet d'autocollants animaux kawaii pour livres Kindle",https://www.etsy.com/fr/listing/1809812961/lot-de-50-autocollants-en-vinyle-animaux,1809812961,,,3.27,60,8.17,4.8758,751,5.0,21.0
Stickers Maisons - Ensemble d'autocollants mignons et colorés sur le thème de la maison pour journaliser et bricoler,https://www.etsy.com/fr/listing/4306250198/stickers-maisons-ensemble-dautocollants,4306250198,,,2.5,0,0.0,4.9348,95,5.0,1.0
Set d'autocollants « Timbres-poste Nostalgie de Noël » - 46 autocollants d'hiver et de Noël dans un ensemble,https://www.etsy.com/fr/listing/4393203605/set-dautocollants-timbres-poste,4393203605,,,3.99,0,0.0,4.8824,1700,5.0,1.0
"Autocollant holographique chat spirale dessin d'un livre de la Renaissance, medieval spiral cat holographic sticker",https://www.etsy.com/fr/listing/1841790575/autocollant-holographique-chat-spirale,1841790575,,,2.99,0,0.0,4.9073,154,4.9,13.0
"50 stickers citations de lecture aléatoire, stickers livres esthétiques pour bibliophiles, stickers amateurs de livres, stickers imperméables pour Kindle et ordinateurs portables",https://www.etsy.com/fr/listing/1884005039/50-stickers-citations-de-lecture,1884005039,,,3.1,62,8.17,4.8662,432,5.0,27.0
"50 stickers littéraires Jane Austen, stickers livres vintage, citations sens et sensibilité, stickers pour amateurs de livres et fans d'Austen",https://www.etsy.com/fr/listing/1807272394/50-stickers-litteraires-jane-austen,1807272394,,,3.27,60,8.17,4.8758,751,4.9,42.0
"50 stickers emoji rigolos, lot d'expressions de dessin animé, stickers visage jaunes, stickers humeur pour journal, stickers en vinyle mignons et humoristiques",https://www.etsy.com/fr/listing/1853332041/50-stickers-emoji-rigolos-lot,1853332041,,,7.38,65,21.09,4.8386,923,5.0,1.0
"50 autocollants koala mignons, autocollants animaux adorables, autocollants imperméables, autocollants kawaii pour enfants, autocollants koala pour scrapbooking",https://www.etsy.com/fr/listing/1856130721/50-autocollants-koala-mignons,1856130721,,,3.1,62,8.17,4.8662,432,0.0,0.0
"Stickers animaux aquarelle – 50 motifs | Animaux mignons de style dessin animé, vinyle, env. 3-6 cm, mat, autocollant, cadeau pour enfants, scrapbooking",https://www.etsy.com/fr/listing/4308746382/stickers-animaux-aquarelle-50-motifs-o,4308746382,,,3.95,10,4.39,4.8845,6200,5.0,1.0
Dark Academia - Feuille d'autocollants Washi | Autocollant vintage | Autocollants transparents super fins pour Bullet Journal | Autocollant Academia sur papier Washi,https://www.etsy.com/fr/listing/1844936226/dark-academia-feuille-dautocollants,1844936226,,,3.3,0,0.0,4.9876,439,5.0,11.0
"Lot de 50 autocollants esthétiques nature, autocollants animaux mignons, autocollants forêt, autocollants floraux, autocollants botaniques pour bagages, travaux manuels",https://www.etsy.com/fr/listing/4383978053/lot-de-50-autocollants-esthetiques,4383978053,,,7.38,65,21.09,4.8386,923,5.0,1.0
Autocollant vintage Art Nouveau « Femme embrassant la lune » (1920) | Décalcomanie Céleste Whimsigoth | Autocollant « Chère vieille lune de Dixie »,https://www.etsy.com/fr/listing/4400090154/autocollant-vintage-art-nouveau-femme,4400090154,,,2.71,15,3.19,4.898,196,0.0,0.0
"Stickers fleurs « Poésie florale » avec 45 mini stickers — stickers, stickers, scrapbooking, papeterie, agenda",https://www.etsy.com/fr/listing/1178112653/stickers-fleurs-poesie-florale-avec-45,1178112653,,,3.59,10,3.99,4.8845,6200,4.5,14.0
"MÉGA BUNDLE Ensemble d'autocollants Mystery Surprise pour toute la boutique Best-seller Drôle, motivant, sarcastique, parfait pour ordinateur portable, agenda, tenue de journal, cadeaux",https://www.etsy.com/fr/listing/4368898079/mega-bundle-ensemble-dautocollants,4368898079,,,2.92,25,3.9,4.7836,134,5.0,1.0
Pack d'autocollants mèmes populaires Stickers mèmes Internet drôles Sticker bouteille d'eau Stickers ordinateur portable Idée cadeau drôle Mème Sticker mème Internet viral,https://www.etsy.com/fr/listing/4390225686/pack-dautocollants-memes-populaires,4390225686,,,2.92,25,3.9,4.7836,134,5.0,1.0
"100 autocollants mignons de timbres du monde entier | Tampon autocollant de voyage pour ordinateur portable, scrapbooking, journal, carnet de notes, décoration et agenda",https://www.etsy.com/fr/listing/1741652312/100-autocollants-mignons-de-timbres-du,1741652312,,,13.99,0,0.0,4.7766,930,4.2,22.0
Lot de 50 stickers Twilight / Imperméables / Vampires,https://www.etsy.com/fr/listing/1746543224/lot-de-50-stickers-twilight-impermeables,1746543224,,,7.52,25,10.02,4.9217,346,4.9,123.0
Petits stickers de mariage rectangulaires personnalisés pour cadeaux : étiquettes de cadeau transparentes ou en feuille d'or blanc,https://www.etsy.com/fr/listing/726575701/petits-stickers-de-mariage,726575701,,,0.34,40,0.57,4.8737,38900,5.0,150.0
"Ensemble d'autocollants DIY 4 thèmes, cabane dans les arbres/salle de bonbons/table de tarot/salle de sorcière, scène d'autocollants 3D, autocollant miniature, autocollants déco, cadeau pour fille",https://www.etsy.com/fr/listing/4307888987/ensemble-dautocollants-diy-4-themes,4307888987,,,19.41,10,21.56,4.7647,17,5.0,7.0
"Stickers muraux fleurs marguerites 50 pcs, décoration de chambre d'enfant, stickers muraux fleurs / Marguerite blanche / Stickers fleurs",https://www.etsy.com/fr/listing/1412690212/stickers-muraux-fleurs-marguerites-50,1412690212,,,26.28,35,40.43,4.8797,554,4.9,118.0
"La vie, c'est la douleur, autocollant vinyle imperméable baguette parisienne | Jeu de mots amusant autocollant mignon, ordinateur portable, journal intime, agendas, bujo, étui pour téléphone, bouteille d'eau",https://www.etsy.com/fr/listing/1785608312/la-vie-cest-la-douleur-autocollant,1785608312,,,4.5,0,0.0,4.9783,2500,5.0,7.0
"50 autocollants rétro - Scrapbooking, Papeterie, Journal, Agenda, Papeterie",https://www.etsy.com/fr/listing/1520681537/50-autocollants-retro-scrapbooking,1520681537,,,4.94,10,5.49,4.8845,6200,4.7,22.0
Pack 7 Autocollants Poissons & Citron – Stickers originaux avec packaging boîte de conserve,https://www.etsy.com/fr/listing/1889003647/pack-7-autocollants-poissons-citron,1889003647,,,10.0,0,0.0,4.9917,311,5.0,4.0
"Stickers logo personnalisés, finition mate, stickers ronds 37 mm",https://www.etsy.com/fr/listing/1410504124/stickers-logo-personnalises-finition,1410504124,,,2.13,0,0.0,4.9617,6100,4.9,0.0
"Autocollant inspiré de la foi, verset de la Bible bohème, carnets de notes, planches de prière, autocollant religieux JÉSUS religion cadeau amoureux de Jésus, autocollants chrétiens",https://www.etsy.com/fr/listing/4361622482/autocollant-inspire-de-la-foi-verset-de,4361622482,,,2.92,25,3.9,4.7836,134,4.6,9.0
"50 autocollants de scrapbooking vintage, autocollants esthétiques rétro, autocollants de journalisme, autocollants bohèmes, autocollants pour le bricolage, cadeaux et cahiers",https://www.etsy.com/fr/listing/1841913036/50-autocollants-de-scrapbooking-vintage,1841913036,,,7.38,65,21.09,4.8386,923,4.6,32.0
"Stickers personnalisés, Autocollants personnalisés, Vos photos sous forme d'autocollants, Imperméables, Stickers individuels, Stickers en vinyle personnalisés, Stickers ordinateur portable",https://www.etsy.com/fr/listing/1793759481/stickers-personnalises-autocollants,1793759481,,,1.2,0,0.0,5.0,96,5.0,42.0
30 stickers chats kawaii,https://www.etsy.com/fr/listing/1766000542/30-stickers-chats-kawaii,1766000542,,,3.4,0,0.0,4.918,424,3.0,2.0
Autocollant pour carton de lait Nessie,https://www.etsy.com/fr/listing/1774929831/autocollant-pour-carton-de-lait-nessie,1774929831,,,2.82,30,4.03,4.9894,31800,5.0,66.0
Pochette mystère de 25 petits autocollants découpés | Sticker pour ordinateur portable bouteille d'eau | Sticker carnet de notes,https://www.etsy.com/fr/listing/1315141582/pochette-mystere-de-25-petits,1315141582,,,4.79,0,0.0,4.9924,2900,5.0,800.0
"Sticker QR code pointant vers un site web pour commerce, vitrophanie boutique, vitrine, magasin, vinyle adhésif personnalisable",https://www.etsy.com/fr/listing/1382299575/sticker-qr-code-pointant-vers-un-site,1382299575,,,19.9,0,0.0,4.901,278,5.0,10.0
"Je suis venu, j'ai vu que j'avais de l'anxiété, j'ai laissé un autocollant, autocollant introverti drôle, autocollant drôle, autocollant pour ordinateur portable, autocollant pour gobelet anxiété, autocollant anxiété",https://www.etsy.com/fr/listing/858479485/je-suis-venu-jai-vu-que-javais-de,858479485,,,3.21,10,3.57,4.9435,84300,4.9,0.0
CUTE Moon & Star Stickers,https://www.etsy.com/fr/listing/4328116847/cute-moon-star-stickers,4328116847,,,1.3,0,0.0,5.0,181,5.0,13.0
"60 stickers japonais, de voyage et de culture pour le scrapbooking et le bricolage",https://www.etsy.com/fr/listing/1806926048/60-stickers-japonais-de-voyage-et-de,1806926048,,,10.52,0,0.0,4.9224,713,5.0,48.0
Lot de 12 attrape-soleil hexagones électrostatiques – Stickers lumineux pour fenêtre – Reflets arc-en-ciel & anti-collision oiseaux,https://www.etsy.com/fr/listing/1395794720/lot-de-12-attrape-soleil-hexagones,1395794720,,,7.5,0,0.0,4.9176,231,4.9,150.0
"AUTOCOLLANT : mangez les riches (10x/30x/60x) | politique, de gauche, alternatif, anticapitaliste, autocollants | Activisme, Punk, Merch, Cadeaux",https://www.etsy.com/fr/listing/1382979777/autocollant-mangez-les-riches-10x30x60x,1382979777,,,1.69,25,2.25,4.9437,754,5.0,205.0
Feuille d'autocollants - Tea Party - Journal Sticker - Planner Sticker - Scrapbook Sticker - Breakfast Sticker - Flower Sticker - Cosy Sticker Sheet,https://www.etsy.com/fr/listing/1067539120/feuille-dautocollants-tea-party-journal,1067539120,,,2.75,0,0.0,4.9793,13000,5.0,112.0
"Lot de 50 autocollants de voyage urbain – Autocollants de monuments et de destinations pittoresques pour ordinateur portable, guitare, bagages et scrapbooking | Esthétique de voyage vintage",https://www.etsy.com/fr/listing/4350423245/lot-de-50-autocollants-de-voyage-urbain,4350423245,,,9.0,25,12.0,4.9375,16,5.0,2.0
"Autocollants d'entretien personnel goutte rose | Stickers imperméables en vinyle pour Bullet Journal, agenda, ordinateur portable, bouteille d'eau, coque de téléphone, déco",https://www.etsy.com/fr/listing/1603479645/autocollants-dentretien-personnel-goutte,1603479645,,,3.76,0,0.0,4.9812,2900,5.0,284.0
Ensemble d'autocollants Esprit ukrainien. Fabriqué en Ukraine. L'art de la liberté et de l'indépendance.,https://www.etsy.com/fr/listing/4404351765/ensemble-dautocollants-esprit-ukrainien,4404351765,,,28.23,25,37.65,4.9431,735,5.0,1.0
Lammergeier ou Gypaète barbu ensemble de 3 autocollants brillants imperméables en vinyle,https://www.etsy.com/fr/listing/1401794098/lammergeier-ou-gypaete-barbu-ensemble-de,1401794098,,,4.3,0,0.0,4.9859,3500,5.0,24.0
"Feuille d'autocollants pigeon - lot de 12 autocollants pour journal, agenda, scrapbooking et plus",https://www.etsy.com/fr/listing/1747342425/feuille-dautocollants-pigeon-lot-de-12,1747342425,,,5.0,0,0.0,4.9381,416,5.0,9.0
"Stickers muraux floraux : stickers botaniques bohèmes, décoration florale pastel",https://www.etsy.com/fr/listing/1327751071/stickers-muraux-floraux-stickers,1327751071,,,11.4,40,19.0,4.8099,1900,4.9,211.0
Lot d'autocollants Internet Meme : Stickers sarcastiques pour ordinateur portable - Pack mystère,https://www.etsy.com/fr/listing/4362096068/lot-dautocollants-internet-meme-stickers,4362096068,,,2.92,25,3.9,4.7836,134,4.3,4.0
"Lot de 50 autocollants en vinyle dessinés à la main au hasard pour bouteille, autocollants esthétiques imperméables pour bouteille d'eau, ordinateur portable, lot d'autocollants fantaisie et nature",https://www.etsy.com/fr/listing/1801851765/lot-de-50-autocollants-en-vinyle,1801851765,,,3.27,60,8.17,4.8758,751,4.8,36.0
"Autocollant, Mot de passe de la forêt, 45 mini autocollants – autocollants, papeterie, journal, agenda, album photo, plante, fleur, tampon",https://www.etsy.com/fr/listing/1161097495/autocollant-mot-de-passe-de-la-foret-45,1161097495,,,3.59,10,3.99,4.8845,6200,5.0,24.0
Ensemble de feuilles d'autocollants Academy | Feuille de 5 autocollants pour Bullet Journal | Autocollants pour journal | Académie des ténèbres | Livres et sculptures | Bujo esthétique,https://www.etsy.com/fr/listing/1768713230/ensemble-de-feuilles-dautocollants,1768713230,,,12.0,0,0.0,4.9876,439,5.0,14.0
Sticker YETTA FOREVER,https://www.etsy.com/fr/listing/4348442277/sticker-yetta-forever,4348442277,,,3.5,0,0.0,5.0,71,5.0,2.0
"Feuille de 61 autocollants - marqueurs de jardin - pour organiser l'agenda, le calendrier, le journal, l'agenda, le scrapbooking",https://www.etsy.com/fr/listing/1552178811/feuille-de-61-autocollants-marqueurs-de,1552178811,,,1.5,0,0.0,4.9134,2100,4.9,31.0
"Stickers célestes : lune, soleil, étoile dorés et argentés - 6 feuilles",https://www.etsy.com/fr/listing/1890788456/stickers-celestes-lune-soleil-etoile,1890788456,,,7.53,0,0.0,5.0,5,5.0,1.0
"Autocollants mensuels et impression artistique Snail Mail Club, ensemble d'autocollants de journalisation pour agenda 2025, lot d'autocollants aquarelle pour carnet de voyage",https://www.etsy.com/fr/listing/4382265787/autocollants-mensuels-et-impression,4382265787,,,11.85,25,15.81,4.9754,6600,5.0,15.0
"Autocollants automne, autocollants de septembre, autocollants d'agenda d'automne, autocollants numériques, autocollants numériques automne, autocollants Goodnotes, autocollants PNG",https://www.etsy.com/fr/listing/4351448847/autocollants-automne-autocollants-de,4351448847,,,6.29,25,8.39,4.9128,3300,5.0,10.0
Stickers Retro en papier,https://www.etsy.com/fr/listing/4373143190/stickers-retro-en-papier,4373143190,,,5.0,0,0.0,4.9884,231,0.0,0.0
Autocollant vinyle Colombe,https://www.etsy.com/fr/listing/1604536826/autocollant-vinyle-colombe,1604536826,,,3.0,0,0.0,4.9859,111,5.0,20.0
